Iteration,MeanEpisodeLength,MeanReward
1239,376.98,14.14
1240,361.46,13.54
1241,373.07,13.96
1242,383.6,14.51
1243,373.58,14.17
1244,376.23,13.87
1245,365.26,14.01
1246,383.35,14.14
1247,375.25,13.71
1248,371.95,13.94
1249,393.21,14.27
1250,401.86,14.77
1251,395.03,14.46
1252,400.41,14.82
1253,400.89,15.1
1254,410.83,15.1
1255,425.53,16.07
1256,388.27,14.01
1257,415.08,15.52
1258,402.01,14.32
1259,378.74,14.06
1260,400.74,14.58
1261,408.21,15.1
1262,410.12,14.85
1263,384.42,14.27
1264,414.33,15.58
1265,422.13,15.5
1266,414.46,15.14
1267,424.97,15.91
1268,410.84,15.61
1269,411.62,15.04
1270,427.44,15.76
1271,401.83,14.74
1272,405.27,15.34
1273,381.11,14.32
1274,371.08,13.28
1275,406.95,15.28
1276,442.94,16.52
1277,421.68,15.56
1278,407.46,14.67
1279,416.48,14.87
1280,397.42,14.61
1281,380.83,13.62
1282,423.13,15.2
1283,390.3,14.41
1284,408.69,14.8
1285,396.55,14.83
1286,418.53,15.25
1287,386.1,13.88
1288,413.72,15.37
1289,442.76,16.36
1290,408.46,14.49
1291,409.57,15.44
1292,399.71,14.99
1293,408.28,14.74
1294,421.06,15.61
1295,396.09,14.54
1296,429.45,15.61
1297,410.68,15.02
1298,409.57,15.21
1299,421.07,15.82
1300,423.55,15.24
1301,428.94,15.54
1302,402.61,14.88
1303,385.92,13.86
1304,417.03,15.13
1305,412.2,14.97
1306,418.97,15.3
1307,392.42,14.84
1308,380.63,13.94
1309,419.07,15.65
1310,414.03,15.14
1311,421.89,15.67
1312,438.9,16.36
1313,405.38,14.75
1314,385.65,14.46
1315,376.82,13.86
1316,407.45,15.23
1317,422.89,15.93
1318,404.64,14.58
1319,401.31,14.89
1320,412.72,15.56
1321,408.62,15.42
1322,430.48,15.84
1323,428.49,15.94
1324,405.05,15.06
1325,405.09,14.75
1326,437.67,16.29
1327,396.4,14.82
1328,412.7,15.25
1329,403.56,14.93
1330,400.9,14.55
1331,395.21,14.23
1332,426.99,15.45
1333,410.51,15.23
1334,403.1,15.19
1335,408.98,15.09
1336,402.61,15.53
1337,392.55,14.45
1338,404.24,14.87
1339,407.64,15.04
1340,404.26,14.6
1341,414.78,15.92
1342,400.53,14.68
1343,430.78,15.78
1344,428.2,16.28
1345,417.55,15.43
1346,427.76,15.61
1347,405.4,15.06
1348,430.9,16.41
